,reward,test_name,model
287,"(0.2765, 0.6313)",drop3,random45
288,"(0.351, 6.3811)",Recurrences-dbl,random45
289,"(0.4776, 14.3914)",ControlLoops-dbl,random45
290,"(0.3764, 0.139)",vor,random45
291,"(0.3338, 0.022)",security-sha,random45
292,"(0.3292, 7.6238)",StatementReordering-dbl,random45
293,"(0.33, 14.5199)",Symbolics-flt,random45
294,"(0.4456, 0.0287)",security-rijndael,random45
295,"(0.3287, 0.0873)",mst,random45
296,"(1.6399, 0.9152)",miniAMR,random45
297,"(0.3222, 0.0749)",network-patricia,random45
298,"(0.9027, 9.4852)",miniFE,random45
299,"(0.312, 11.9518)",Reductions-flt,random45
